starname,mag3_6,mag4_5,mag5_8,mag8_0,mag24
2dFS3177,16.884,16.525,99.999,99.999,99.999
2dFS3178,17.073,16.655,99.999,99.999,99.999
2dFS3179,16.855,99.999,99.999,99.999,99.999
2dFS3181,17.318,99.999,99.999,99.999,99.999
2dFS3185,17.028,17.074,99.999,99.999,99.999
2dFS3187,16.358,16.356,99.999,99.999,99.999
2dFS3188,15.967,16.011,99.999,99.999,99.999
2dFS3191,16.356,16.345,99.999,99.999,99.999
2dFS3192,16.304,16.284,99.999,99.999,99.999
2dFS3193,16.488,16.243,99.999,99.999,99.999
2dFS3194,15.413,15.025,99.999,99.999,99.999
2dFS3196,16.761,16.643,99.999,99.999,99.999
2dFS3200,16.768,16.43,99.999,99.999,99.999
2dFS3202,16.63,99.999,99.999,99.999,99.999
2dFS3204,17.128,99.999,99.999,99.999,99.999
2dFS3205,17.162,16.992,99.999,99.999,99.999
2dFS3207,15.831,15.798,99.999,99.999,99.999
2dFS3208,16.856,16.999,99.999,99.999,99.999
2dFS3209,17.093,16.737,99.999,99.999,99.999
2dFS3213,17.018,99.999,99.999,99.999,99.999
2dFS3214,15.795,15.582,99.999,99.999,99.999
2dFS3215,17.269,99.999,99.999,99.999,99.999
2dFS3216,16.233,99.999,99.999,99.999,99.999
2dFS3217,16.239,16.194,99.999,99.999,99.999
2dFS3218,16.632,99.999,99.999,99.999,99.999
2dFS3219,14.485,14.222,14.03,99.999,99.999
2dFS3223,16.571,16.484,99.999,99.999,99.999
2dFS3227,17.209,99.999,99.999,99.999,99.999
2dFS3228,15.687,15.499,99.999,99.999,99.999
2dFS3229,16.934,16.597,99.999,99.999,99.999
2dFS3230,15.596,14.93,99.999,99.999,99.999
2dFS3234,17.184,99.999,99.999,99.999,99.999
2dFS3238,13.365,13.32,13.233,99.999,99.999
2dFS3240,16.355,16.376,99.999,99.999,99.999
2dFS3242,17.071,17.075,99.999,99.999,99.999
2dFS3243,17.326,99.999,99.999,99.999,99.999
