 id ra dec flag mag3_6 mag4_5 mag5_8 mag8_0 mag24 
 23 6.6904420000000000 -73.9232130000000041 O 10.4600000000000009 10.5999999999999996 10.4589999999999996 10.4440000000000008 10.1999999999999993
 46 7.2992660000000003 -74.3397740000000056 O 11.8140000000000001 11.8870000000000005 11.7330000000000005 11.7449999999999992 10.0800000000000001
 86 7.3519660000000000 -73.4669180000000068 O 10.9079999999999995 10.8789999999999996 10.6679999999999993 10.5269999999999992 10.3599999999999994
 1824345 21.7699399999999983 -73.6364439999999973 O 12.4199999999999999 12.4819999999999993 12.3699999999999992 12.3780000000000001 99.9989999999999952
 1827715 21.8393049999999995 -73.9665069999999929 aO/O 11.9009999999999998 12.0459999999999994 11.8409999999999993 11.7029999999999994 99.9989999999999952
 1830358 21.8938549999999985 -73.6046300000000002 aO/O 11.6609999999999996 11.7820000000000000 11.5890000000000004 11.5370000000000008 99.9989999999999952
 1832983 21.9499980000000008 -73.0825849999999946 O 11.2690000000000001 11.3780000000000001 11.2319999999999993 11.1229999999999993 99.9989999999999952
 1833610 21.9632530000000017 -72.7603050000000025 O 12.2650000000000006 12.2469999999999999 12.1570000000000000 12.1560000000000006 99.9989999999999952
 1835505 22.0021020000000007 -71.5070350000000019 O 12.2810000000000006 12.3529999999999998 12.2509999999999994 12.2249999999999996 99.9989999999999952
 1835940 22.0110390000000002 -71.7845319999999987 aO/O 11.5259999999999998 11.6489999999999991 11.4580000000000002 11.3930000000000007 99.9989999999999952
 1836043 22.0131690000000013 -73.0826930000000061 O 11.4960000000000004 11.5459999999999994 11.3800000000000008 11.2759999999999998 99.9989999999999952
 1836511 22.0239200000000004 -74.0011290000000059 O 12.5139999999999993 12.6570000000000000 12.5139999999999993 12.3940000000000001 99.9989999999999952
 1836654 22.0268559999999987 -72.2992849999999976 O 11.6059999999999999 11.7119999999999997 11.5890000000000004 11.5370000000000008 99.9989999999999952
 1838016 22.0554179999999995 -72.8832349999999991 O 12.2899999999999991 12.3109999999999999 12.1989999999999998 12.1750000000000007 99.9989999999999952
 1838163 22.0591009999999983 -73.8396379999999937 O 12.0399999999999991 12.1379999999999999 12.0090000000000003 12.0190000000000001 99.9989999999999952
 1838241 22.0606100000000005 -70.9637349999999998 O 12.1799999999999997 12.3800000000000008 12.1570000000000000 12.1449999999999996 99.9989999999999952
 1839498 22.0870679999999986 -72.1248020000000025 O 12.0619999999999994 12.2420000000000009 12.0960000000000001 12.1210000000000004 99.9989999999999952
 1843924 22.1804319999999997 -72.9640909999999963 aO/O 11.6180000000000003 11.7479999999999993 11.5440000000000005 11.4689999999999994 99.9989999999999952
 1845450 22.2144890000000004 -74.6095550000000003 aO/O 11.1940000000000008 11.3300000000000001 11.1579999999999995 11.0579999999999998 99.9989999999999952
 1847637 22.2628109999999992 -72.5904409999999984 O 12.4629999999999992 12.5500000000000007 12.4489999999999998 12.4220000000000006 99.9989999999999952
 1849896 22.3149419999999985 -74.5544239999999974 O 10.9550000000000001 11.0459999999999994 10.8910000000000000 10.7330000000000005 99.9989999999999952
 1851512 22.3528939999999992 -71.7272940000000006 O 10.9550000000000001 11.0800000000000001 10.9120000000000008 10.8049999999999997 99.9989999999999952
 1851771 22.3584810000000012 -73.2841260000000005 aO/O 11.7340000000000000 11.8759999999999994 11.7379999999999995 11.5579999999999998 99.9989999999999952
 1852207 22.3687730000000009 -73.7434020000000032 aO/O 11.9789999999999992 12.1199999999999992 11.9329999999999998 11.6240000000000006 99.9989999999999952
 1852655 22.3792630000000017 -73.6510099999999994 O 12.2409999999999997 12.3170000000000002 12.2660000000000000 12.1839999999999993 99.9989999999999952
 1855296 22.4404649999999997 -74.0112320000000068 O 11.7949999999999999 11.9179999999999993 11.7379999999999995 11.7279999999999998 99.9989999999999952
 1856512 22.4694299999999991 -73.3928539999999998 aO/O 11.1059999999999999 11.1579999999999995 11.0760000000000005 10.8989999999999991 99.9989999999999952
 1857250 22.4863269999999993 -71.7814300000000003 O 12.5259999999999998 12.6020000000000003 12.4860000000000007 12.4749999999999996 99.9989999999999952
 1860464 22.5571050000000000 -73.4008240000000001 O 11.9420000000000002 12.0180000000000007 11.8670000000000009 11.8800000000000008 99.9989999999999952
 1861536 22.5834130000000002 -73.7300960000000032 aO/O 12.0099999999999998 12.1080000000000005 11.9049999999999994 11.7970000000000006 99.9989999999999952
 1865227 22.6688070000000010 -71.7435689999999937 O 11.6590000000000007 11.7210000000000001 11.5850000000000009 11.5510000000000002 99.9989999999999952
 1867252 22.7177240000000005 -73.1380879999999962 O 12.4949999999999992 12.5890000000000004 12.4760000000000009 12.4169999999999998 99.9989999999999952
 1868143 22.7386930000000014 -71.2430099999999982 O 11.5480000000000000 11.8040000000000003 11.5969999999999995 11.5800000000000001 99.9989999999999952
 1868440 22.7456069999999997 -72.4929010000000034 aO/O 11.5069999999999997 11.4749999999999996 11.2710000000000008 11.1419999999999995 99.9989999999999952
 1875149 22.9000810000000001 -72.7101629999999943 O 12.5050000000000008 12.6020000000000003 12.4949999999999992 12.4969999999999999 99.9989999999999952
 1879810 23.0142330000000008 -74.6822599999999994 O 12.2929999999999993 12.3529999999999998 12.2739999999999991 12.2550000000000008 99.9989999999999952
 1880012 23.0192480000000010 -71.1671070000000014 aO/O 11.6319999999999997 11.7599999999999998 11.5760000000000005 11.4689999999999994 99.9989999999999952
 1881216 23.0495589999999986 -74.2400540000000007 O 11.7270000000000003 11.8460000000000001 11.6959999999999997 11.6709999999999994 99.9989999999999952
 1881847 23.0660719999999984 -71.9067909999999983 aO/O 12.4629999999999992 12.5060000000000002 12.3960000000000008 12.2699999999999996 99.9989999999999952
 1882660 23.0879350000000017 -73.8704180000000008 O 12.0340000000000007 12.0459999999999994 11.9380000000000006 11.8239999999999998 99.9989999999999952
 1883130 23.1001609999999999 -74.5355710000000045 O 12.1489999999999991 12.2520000000000007 12.1639999999999997 12.1250000000000000 99.9989999999999952
