IDs,mag3_6,mag4_4,mag5_8,mag8_0,mag24
SSTISAGEMA J003640.74-721907.3  ,13.5892863163994,10.1147135704928,12.6637538472876,10.1147135704928,6.63174309546704
SSTISAGEMA J003643.96-723722.1  ,13.3704529934278,9.52856515513513,11.4374410549828,9.52856515513513,6.13723343183341
SSTISAGEMA J003654.19-735255.4  ,16.8739543209852,13.2346090829482,14.3461963979475,13.2346090829482,9.91837995599331
SSTISAGEMA J003655.28-744428.8  ,12.7217906602405,10.0614715496292,11.096209528641,10.0614715496292,6.04290616383456
SSTISAGEMA J003659.02-713810.8  ,12.7217906602405,10.1298724228869,11.0357353273984,10.1298724228869,6.83584774344348
SSTISAGEMA J003707.96-725907.1  ,14.9653843844982,10.008025059594,12.8832161611438,10.008025059594,6.84742457853739
SSTM1SAGE1 J003712.15-723513.7  ,13.441122400791,10.5549413382047,12.8499919903906,10.5549413382047,8.15920352764075
SSTISAGEMA J003717.78-730020.7  ,13.9932335090195,10.4139677951647,11.8618187722566,10.4139677951647,4.67113702050803
SSTISAGEMA J003723.09-720609.2  ,15.4771829451549,11.8017534976446,13.0452215330993,11.8017534976446,8.168285743242
SSTISAGEMA J003724.31-730832.9  ,16.90032981395,12.8560481317671,14.5566293872029,12.8560481317671,10.2302111177356
SSTISAGEMA J003733.06-725245.0  ,10.5842697531393,7.29160059543436,8.16552449753227,7.29160059543436,4.93025997398732
SSTISAGEMA J003747.39-744744.9  ,15.2752381401159,11.8946080384952,13.3828191809419,11.8946080384952,99.999
SSTISAGEMA J003759.48-733545.2  ,16.6796264062137,13.1857671819175,14.3565862410758,13.1857671819175,9.37274096218543
SSTISAGEMA J003859.49-744527.9  ,17.7076593995844,13.3212368642485,14.2907639125717,13.3212368642485,10.7880244584001
SSTISAGEMA J003910.76-713409.9  ,12.3929751468195,9.87583086519523,10.8047932008941,9.87583086519523,6.77818446163248
SSTISAGEMA J003929.32-742122.6  ,16.2564776240926,12.7466008970743,14.0455451389734,12.7466008970743,9.43301436508476
SSTISAGEMA J003937.24-730221.1  ,16.612736495389,12.796603532586,14.2148737200214,12.796603532586,9.15238513589549
SSTISAGEMA J003939.21-725833.4  ,14.3189149403752,10.6605895294283,12.6825739120235,10.6605895294283,7.68594924385166
SSTISAGEMA J003953.94-725124.5  ,11.7393382993036,10.4804100898687,11.6184952266614,10.4804100898687,8.10267796580905
SSTISAGEMA J003957.29-712739.1  ,14.3717850612369,10.6359825798153,13.3328915000017,10.6359825798153,7.5092896188348
SSTISAGEMA J004020.62-740315.5  ,14.5453096956027,11.2870129002705,13.404319590044,11.2870129002705,8.04706621439701
SSTISAGEMA J004049.79-744618.8  ,11.7883862158605,10.7180831341231,11.5773638777827,10.7180831341231,8.76069348524385
SSTISAGEMA J004054.22-730614.7  ,14.8619026208857,11.7840988785372,13.064104322363,11.7840988785372,7.53733112684962
SSTISAGEMA J004102.30-731222.0  ,13.862298059086,10.4189368433736,11.6018551824153,10.4189368433736,6.63995285212235
SSTISAGEMA J004109.17-730647.1  ,12.2216127511843,9.26672670412812,10.2085790960018,9.26672670412812,7.00843655741158
SSTISAGEMA J004113.41-724101.3  ,17.3894783990547,11.7080239623417,13.2871066491994,11.7080239623417,7.91090644506664
SSTISAGEMA J004114.10-741130.2  ,12.6618408988235,8.34678478785031,10.6707654105396,8.34678478785031,4.96846654125585
SSTISAGEMA J004124.35-730127.4  ,11.478048135688,8.24464681961088,9.34103844301063,8.24464681961088,3.98472050711983
SSTISAGEMA J004138.38-734822.4  ,16.7072079669896,11.9240868216935,14.0773639258979,11.9240868216935,8.07760942329817
SSTISAGEMA J004144.15-725828.4  ,15.3236141997295,12.4095711129523,13.8787382485737,12.4095711129523,10.1854094780108
SSTISAGEMA J004158.84-723230.5  ,13.6455322274453,10.4910027123711,11.526121855788,10.4910027123711,7.08741582388172
SSTISAGEMA J004208.82-733108.5  ,13.4416743780006,9.81991337642218,11.163004030552,9.81991337642218,3.53855605570671
SSTISAGEMA J004209.84-740205.2  ,12.1719203700861,10.8843572824887,11.469853467132,10.8843572824887,8.2393120615432
SSTISAGEMA J004211.12-723855.1  ,14.1687870511659,10.6030335334135,12.9964161746472,10.6030335334135,7.04870817213541
SSTISAGEMA J004215.25-725953.1  ,11.9122310878517,9.02101036930022,10.1971980656821,9.02101036930022,4.48648246963028
SSTISAGEMA J004221.20-734401.5  ,13.3494595538087,9.99375384531156,11.4553283653394,9.99375384531156,5.8585767933866
SSTISAGEMA J004240.17-741151.0  ,15.923426257153,11.2610336853292,13.5731351704885,11.2610336853292,8.87767311237549
SSTISAGEMA J004248.87-720751.8  ,17.731314678508,13.4554489975107,14.7187789011877,13.4554489975107,9.52495372214148
SSTISAGEMA J004250.74-731031.8  ,15.161840938936,11.3322584793877,12.8791924794003,11.3322584793877,6.08039773068083
SSTISAGEMA J004253.05-732240.6  ,16.3515080634917,12.8822117330449,14.2057498820896,12.8822117330449,9.85925532292576
SSTISAGEMA J004301.67-732051.1  ,15.0510423358869,11.1323820065062,12.630244191782,11.1323820065062,8.09924918059339
SSTISAGEMA J004302.06-732016.5  ,14.9728981753444,11.8287856441048,13.0946904525926,11.8287856441048,8.5381614449885
SSTISAGEMA J004303.16-711710.8  ,13.9962961971983,11.1765037269989,12.1212755930503,11.1765037269989,8.33149806912211
SSTISAGEMA J004307.12-723402.0  ,17.484267197415,12.54900195657,14.1525603528724,12.54900195657,9.03965984322188
SSTM1SAGE1 J004312.88-725958.6  ,12.6019251514206,8.49115469002085,10.116966820736,8.49115469002085,3.31627644125643
SSTISAGEMA J004314.89-730042.7  ,13.2254730746225,9.04885132459645,11.1250942134621,9.04885132459645,3.11650248168678
SSTISAGEMA J004320.39-725801.7  ,15.3210135999044,11.2172874291037,12.816761656952,11.2172874291037,7.24206794358973
SSTISAGEMA J004324.85-730008.5  ,16.71843980188,12.6766618108535,14.1788293688413,12.6766618108535,9.82567997503804
SSTISAGEMA J004334.71-730219.2  ,13.4509147334631,10.3894580601752,11.5299788232303,10.3894580601752,99.999
SSTM1SAGE2 J004349.09-742533.0  ,13.3715737675116,10.1511353171412,12.5990940199086,10.1511353171412,7.60209661507987
SSTISAGEMA J004350.04-711514.6  ,14.3981072166052,10.6857671249836,13.2949318250496,10.6857671249836,7.72087867275789
