SourceName,mag3_6,dmag3_6,mag4_5,dmag4_5,mag5_8,dmag5_8,mag8_0,dmag8_0,mag24,dmag24
N66_J005903.13-721038.4,14.0260000229,0.0579999983,13.7539997101,0.0359999985,12.1210002899,0.0340000018,10.5850000381,0.0250000004,99.999,99.999
N66_J005906.55-721105.9,99.9990005493,99.9990005493,15.6149997711,0.2099999934,12.763999939,0.1360000074,99.9990005493,99.9990005493,99.999,99.999
N66_J005908.20-721111.3,14.751999855,0.1080000028,14.7950000763,0.1439999938,12.8819999695,0.1000000015,11.4809999466,0.0939999968,99.999,99.999
N66_J005908.59-721103.3,13.748000145,0.0689999983,13.6059999466,0.1049999967,11.1470003128,0.061999999,9.2489995956,0.0659999996,99.999,99.999
N66_J005911.75-721224.4,15.8280000687,0.202000007,15.4029998779,0.1299999952,13.6599998474,0.125,99.9990005493,99.9990005493,7.4,0.01832
N66_J005913.90-720924.0,99.9990005493,99.9990005493,99.9990005493,99.9990005493,11.9099998474,0.0970000029,10.1490001678,0.1560000032,5.5,0.02421
N66_J005913.98-721206.5,99.9990005493,99.9990005493,16.2989997864,0.1369999945,13.9300003052,0.2160000056,99.9990005493,99.9990005493,99.999,99.999
N66_J005915.06-721157.8,16.3799991608,0.0450000018,16.1819992065,0.0949999988,13.7279996872,0.0610000007,11.9040002823,0.0260000005,99.999,99.999
N66_J005916.24-721128.7,99.9990005493,99.9990005493,14.7419996262,0.0610000007,12.7010002136,0.0649999976,11.2539997101,0.1630000025,99.999,99.999
N66_J005916.99-720915.5,14.2110004425,0.0649999976,13.5970001221,0.0329999998,12.4270000458,0.0769999996,10.6990003586,0.1889999956,7.093,0.02081
N66_J005917.15-721124.0,13.7899999619,0.0489999987,13.5410003662,0.0379999988,11.2849998474,0.0299999993,9.6990003586,0.0520000011,3.353,0.008704
N66_J005918.08-721124.6,14.9729995728,0.1840000004,14.888999939,0.0890000015,12.8070001602,0.0500000007,11.0719995499,0.1780000031,99.999,99.999
N66_J005919.01-720930.2,15.1350002289,0.1710000038,14.7700004578,0.0390000008,13.142999649,0.1099999994,11.8850002289,0.0590000004,8.131,0.02544
N66_J005919.10-721112.6,15.5080003738,0.1620000005,15.904999733,0.200000003,13.1330003738,0.1330000013,11.5989999771,0.1780000031,99.999,99.999
N66_J005919.17-720858.8,17.0049991608,0.1620000005,17.2660007477,0.1879999936,14.0030002594,0.123999998,12.6529998779,0.1930000037,99.999,99.999
N66_J005920.55-720918.4,16.6459999084,0.1879999936,17.3840007782,0.1640000045,14.3409996033,0.1140000001,12.7989997864,0.202000007,99.999,99.999
N66_J005921.42-720909.3,15.6960000992,0.2119999975,15.7220001221,0.1519999951,13.829000473,0.2140000015,99.9990005493,99.9990005493,99.999,99.999
N66_J005921.66-720915.2,99.9990005493,99.9990005493,16.7520008087,0.1570000052,14.0850000381,0.1979999989,99.9990005493,99.9990005493,7.7,0.03493
N66_J005921.78-720855.6,17.5389995575,0.1700000018,17.2460002899,0.173999995,14.2760000229,0.1550000012,12.9239997864,0.1420000046,9.868,0.1498
N66_J005831.77-720951.6,16.2929992676,0.0419999994,15.5830001831,0.0769999996,14.5629997253,0.0900000036,13.2150001526,0.075000003,10.05,0.07106
N66_J005852.71-720912.1,16.25,0.1689999998,16.6200008392,0.1550000012,14.875,0.2090000063,12.7919998169,0.2039999962,99.999,99.999
